id,word,L,T,F,S,L rank,T rank,F rank,S rank
288,рубин,3,3,4,4,1.5,1.5,3.5,3.5
289,зачет,5,5,5,4,3.0,3.0,3.0,1.0
290,хохот,,5,,,,1.0,,
291,почет,5,6,5,6,1.5,3.5,1.5,3.5
292,макет,4,3,4,2,3.5,2.0,3.5,1.0
293,глина,6,4,4,5,4.0,1.5,1.5,3.0
294,жилет,6,4,5,4,4.0,1.5,3.0,1.5
295,жилец,4,4,5,2,2.5,2.5,4.0,1.0
296,шпага,4,5,4,5,1.5,3.5,1.5,3.5
297,секта,4,6,6,,1.0,2.5,2.5,
298,гамма,5,5,5,6,2.0,2.0,2.0,4.0
299,почта,2,,3,3,1.0,,2.5,2.5
300,испуг,4,3,,4,2.5,1.0,,2.5
301,якорь,4,3,5,3,3.0,1.5,4.0,1.5
302,отчет,4,,4,4,2.0,,2.0,2.0
303,умник,4,4,5,4,2.0,2.0,4.0,2.0
304,отсек,4,3,3,5,3.0,1.5,1.5,4.0
305,туфля,4,4,6,,1.5,1.5,3.0,
306,порыв,5,5,,4,2.5,2.5,,1.0
307,гудок,6,5,3,6,3.5,2.0,1.0,3.5
308,плита,5,4,4,4,4.0,2.0,2.0,2.0
309,обряд,4,5,6,3,2.0,3.0,4.0,1.0
310,заход,6,5,3,5,4.0,2.5,1.0,2.5
311,лампа,4,4,,4,2.0,2.0,,2.0
312,сокол,4,3,3,,3.0,1.5,1.5,
313,вопль,5,4,3,4,4.0,2.5,1.0,2.5
314,месть,3,,4,3,1.5,,3.0,1.5
315,тембр,5,3,5,4,3.5,1.0,3.5,2.0
316,суета,4,5,3,4,2.5,4.0,1.0,2.5
317,крыса,4,,5,2,2.0,,3.0,1.0
318,шатер,5,,5,,1.5,,1.5,
319,чугун,3,,4,4,1.0,,2.5,2.5
320,вихрь,4,2,6,4,2.5,1.0,4.0,2.5
321,свист,5,4,3,5,3.5,2.0,1.0,3.5
322,дебют,6,3,5,5,4.0,1.0,2.5,2.5
323,носок,5,4,5,4,3.5,1.5,3.5,1.5
324,вдова,3,4,4,5,1.0,2.5,2.5,4.0
325,авеню,5,3,,3,3.0,1.5,,1.5
326,обыск,3,5,3,3,2.0,4.0,2.0,2.0
327,тупик,4,4,3,4,3.0,3.0,1.0,3.0
328,гамак,5,5,4,4,3.5,3.5,1.5,1.5
329,монах,3,3,3,2,3.0,3.0,3.0,1.0
330,комок,5,,4,4,3.0,,1.5,1.5
331,седло,3,3,,3,2.0,2.0,,2.0
332,капот,3,,2,4,2.0,,1.0,3.0
333,камыш,3,,5,3,1.5,,3.0,1.5
334,вилла,3,,4,4,1.0,,2.5,2.5
335,салют,5,,2,5,2.5,,1.0,2.5
336,сплав,4,,4,3,2.5,,2.5,1.0
337,аббат,4,4,5,3,2.5,2.5,4.0,1.0
338,брюхо,3,4,4,,1.0,2.5,2.5,
339,пицца,5,,5,,1.5,,1.5,
340,эстет,6,4,3,,3.0,2.0,1.0,
341,биржа,4,,3,,2.0,,1.0,
342,выкуп,3,,5,,1.0,,2.0,
343,молва,4,,3,,2.0,,1.0,
344,дрель,3,,3,6,1.5,,1.5,3.0
345,бронь,4,,,2,2.0,,,1.0
346,форум,5,3,5,6,2.5,1.0,2.5,4.0
347,ветвь,4,3,5,4,2.5,1.0,4.0,2.5
348,налет,3,6,5,3,1.5,4.0,3.0,1.5
349,талон,3,5,5,4,1.0,3.5,3.5,2.0
350,тропа,4,5,5,2,2.0,3.5,3.5,1.0
351,мираж,3,3,4,5,1.5,1.5,3.0,4.0
352,бугор,2,4,4,5,1.0,2.5,2.5,4.0
353,пасть,5,4,4,4,4.0,2.0,2.0,2.0
354,обрыв,4,,4,5,1.5,,1.5,3.0
355,пушка,4,,3,2,3.0,,2.0,1.0
356,намек,4,,5,6,1.0,,2.0,3.0
357,казус,3,,4,2,2.0,,3.0,1.0
358,борец,5,5,3,3,3.5,3.5,1.5,1.5
359,шприц,5,,4,4,3.0,,1.5,1.5
360,рулет,3,3,5,3,2.0,2.0,4.0,2.0
361,вишня,5,,3,4,3.0,,1.0,2.0
362,геном,4,,3,4,2.5,,1.0,2.5
363,опрос,5,3,4,4,4.0,1.0,2.5,2.5
364,пират,3,,3,1,2.5,,2.5,1.0
365,блюдо,3,,4,5,1.0,,2.0,3.0
366,кинза,4,6,,4,1.5,3.0,,1.5
367,пашня,4,,4,4,2.0,,2.0,2.0
368,учеба,4,,5,4,1.5,,3.0,1.5
369,олово,3,2,3,3,3.0,1.0,3.0,3.0
370,сосна,4,,,4,1.5,,,1.5
371,исход,,,2,4,,,1.0,2.0
372,жажда,3,6,,6,1.0,2.5,,2.5
373,лесть,3,4,5,3,1.5,3.0,4.0,1.5
374,будка,4,5,3,6,2.0,3.0,1.0,4.0
375,обуза,5,3,5,4,3.5,1.0,3.5,2.0
376,цыган,5,4,3,4,4.0,2.5,1.0,2.5
377,узник,4,4,4,2,3.0,3.0,3.0,1.0
378,треск,3,2,4,3,2.5,1.0,4.0,2.5
379,бетон,4,5,4,3,2.5,4.0,2.5,1.0
380,осетр,3,4,4,4,1.0,3.0,3.0,3.0
381,мэрия,4,5,4,4,2.0,4.0,2.0,2.0
382,сеанс,3,4,4,3,1.5,3.5,3.5,1.5
383,битва,4,4,4,3,3.0,3.0,3.0,1.0
384,пчела,5,5,3,2,3.5,3.5,2.0,1.0
385,сквер,4,4,4,2,3.0,3.0,3.0,1.0
386,взлет,5,4,3,5,3.5,2.0,1.0,3.5
387,этика,6,4,5,3,4.0,2.0,3.0,1.0
388,груша,5,2,3,3,4.0,1.0,2.5,2.5
389,грант,5,4,,5,2.5,1.0,,2.5
390,брань,4,6,3,2,3.0,4.0,2.0,1.0
391,казна,5,6,4,4,3.0,4.0,1.5,1.5
392,пряжа,4,2,2,3,4.0,1.5,1.5,3.0
